identifiant,week_day,date,time,type_event,phase,location,country,total_occupants,total_fatalities,aircraft_damage,aircraft_fate,type_aircraft,number_engines,type_engines,first_flight,cycles,total_airframe_hours,registration,c_n_msn,operator,nature,flight_number,departure_airport_name,departure_airport_IATA,departure_airport_ICAO,departure_airport_country,destination_airport_name,destination_airport_IATA,destination_airport_ICAO,destination_airport_country,crew_number,passengers_number,crew_fatalities,passengers_fatalities,collision_casualties,ground_casualties,status
19710526-5,Wednesday,26-MAY-1971,-,A1, En route (ENR),Devil's Peak,South Africa,4,4, Destroyed, Written off (damaged beyond repair),Hawker Siddeley HS-125-400B,-,-,1970,-,-, 03, 25182,South African AF,Military,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19710527-0,Thursday,27-MAY-1971,-,H2, Unknown (UNK),Wien-Schwechat Airport (VIE),Austria,30,0, Unknown,-,Ilyushin Il-14,-,-,-,-,-, registration unknown,-,Tarom,Domestic Scheduled Passenger,-,Oradea Airport,OMR,LROD,Romania,-,-,-,-,4,26,0,0,-,-,-
19710528-0,Friday,28-MAY-1971,-,H2, Unknown (UNK),Nassau,Bahamas,138,0, Unknown,-,Boeing 727,-,-,-,-,-, registration unknown,-,Eastern Air Lines,Domestic Scheduled Passenger,EA30,Miami International Airport,MIA,KMIA,United States of America,-,-,-,-,-,-,0,0,-,-,-
19710529-0,Saturday,29-MAY-1971,-,H2, Unknown (UNK),at an unknown location,Cuba,69,0, Unknown,-,Boeing 707,-,-,-,-,-, registration unknown,-,Pan Am,International Scheduled Passenger,PA442,Caracas Airport,CCS,SVMI,Venezuela,Miami International Airport,MIA,KMIA,United States of America,9,60,0,0,-,-,-
19710531-0,Monday,31-MAY-1971,-,A1, En route (ENR),3 km (1.9 mls) SE of Malakhovo,Russia,3,3, Damaged beyond repair,-,Antonov An-2R,-,-,1968,-,2628.0, CCCP-32076, 1G92-32,Aeroflot,Illegal Flight,-,-,-,-,-,-,-,-,-,2,1,2,1,-,-,-
19710599-0,-,xx-MAY-1971,-,A1, Landing (LDG),Titograd Airport (TGD),Montenegro,-,0, Damaged beyond repair,-,Convair CV-440-0,-,-,1958,-,-, YU-ADO, 470,JAT,Unknown,-,-,-,-,-,Titograd Airport,TGD,LYPG,Montenegro,-,-,0,0,-,-,-
19710601-1,Tuesday,01-JUN-1971,-,A1, Unknown (UNK),"Bogodorsk Island, near Ulan-Ude",Russia,-,0, Damaged beyond repair,-,Antonov An-24B,-,-,1966,-,-, CCCP-47729, 69900902,Aeroflot / East Siberia,Training,-,Ulan-Ude Airport,UUD,UIUU,Russia,Ulan-Ude Airport,UUD,UIUU,Russia,-,0,0,0,-,-,-
19710602-0,Wednesday,02-JUN-1971,-,C1, Maneuvering (MNV),near Bouam Long,Laos,2,2, Damaged beyond repair,-,Curtiss C-46D-20-CU Commando,-,-,1945,-,-, XW-PFL, 22228,Air America,Cargo,-,-,-,-,-,-,-,-,-,2,0,2,0,-,-,-
19710603-0,Thursday,03-JUN-1971,01:25,A1, Landing (LDG),Southend Municipal Airport (SEN),United Kingdom,36,0, Damaged beyond repair,-,Douglas C-47B-35-DK (DC-3),2,Pratt & Whitney R-1830-90D,1945,-,6372.0, PH-MOA, 33353/16605,Moormanair,Int'l Non Scheduled Passenger,-,Southend Municipal Airport,SEN,EGMC,United Kingdom,Amsterdam-Schiphol International Airport,AMS,EHAM,Netherlands,4,32,0,0,-,-,Final
19710603-1,Thursday,03-JUN-1971,-,A1, En route (ENR),Centenera,Spain,5,5, Damaged beyond repair,-,Boeing KC-135Q Stratotanker,4,Pratt & Whitney J57-P/F-59W,1959,-,5406.0, 58-0039, 17784/254,USAF,Military,-,Madrid-Torrejón AFB,TOJ,LETO,Spain,Madrid-Torrejón AFB,TOJ,LETO,Spain,5,0,5,0,-,-,-
